Entidad,Municipio,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3
Oaxaca,Santiago Nejapilla,0.053,14.194,17.631,71.964,2.656,1.833,4.692
Oaxaca,Santiago Niltepec,2.106,362.488,702.071,17541.419,105.023,62.383,67.101
Oaxaca,Santiago Nundiche,0.255,66.07900000000001,85.621,218.563,11.011,7.989,12.509
Oaxaca,Santiago Nuyoó,0.5329999999999999,133.073,91.274,288.922,22.18,16.04,58.211
Oaxaca,Santiago Suchilquitongo,2.11,373.99,153.366,337.578,32.951,27.703,61.449
Oaxaca,Santiago Tamazola,0.76,200.125,163.374,1613.0790000000002,23.839,21.376,32.775
Oaxaca,Santiago Tapextla,0.6399999999999999,163.883,112.348,2129.691,27.622,20.962,30.808
Oaxaca,Santiago Tenango,0.4159999999999999,104.916,79.235,362.969,15.002,11.684000000000001,20.665999999999997
Oaxaca,Santiago Tepetlapa,0.028999999999999998,6.832,55.903999999999996,135.24,1.899,1.011,11.138
Oaxaca,Santiago Tetepec,1.082,280.94,389.85200000000003,2547.5170000000003,39.548,31.958000000000002,48.382
Oaxaca,Santiago Texcalcingo,0.6179999999999999,167.577,54.806000000000004,296.87,23.476000000000003,20.04,31.917
Oaxaca,Santiago Textitlán,0.77,195.42,103.741,281.909,27.108999999999998,22.477,38.830000000000005
Oaxaca,Santiago Tilantongo,0.8330000000000001,210.80599999999998,442.54400000000004,1134.157,30.553,24.037,33.936
Oaxaca,Santiago Tillo,0.2099999999999999,44.119,67.102,165.547,10.753,5.409,6.255999999999999
Oaxaca,Santiago Tlazoyaltepec,1.6679999999999997,301.7,87.036,245.348,51.971,45.863,53.620000000000005
Oaxaca,Santiago Xanica,0.712,174.929,86.546,4269.371999999999,27.393,21.241,85.02199999999998
Oaxaca,Santiago Xiacuí,0.4179999999999999,97.295,38.411,228.02100000000002,10.596,8.458,15.951
Oaxaca,Santiago Yaitepec,1.2819999999999998,274.993,29.653,426.117,46.745000000000005,41.626,52.851
Oaxaca,Santiago Yaveo,2.8289999999999997,477.676,2878.79,16913.877,106.485,69.535,224.874
Oaxaca,Santiago Yolomécatl,0.4289999999999999,87.248,200.30100000000002,480.742,7.503,5.663,10.949
Oaxaca,Santiago Yosondúa,3.99,728.591,633.904,3083.404,89.738,75.415,78.40499999999999
Oaxaca,Santiago Yucuyachi,0.152,39.955999999999996,104.074,526.331,5.126,4.322,8.816999999999998
Oaxaca,Santiago Zacatepec,1.129,301.149,154.436,1864.266,43.944,36.760999999999996,70.012
Oaxaca,Santiago Zoochila,0.074,20.241,5.554,24.899,2.85,2.448,3.432
Oaxaca,Santiago del Río,0.14,36.376,124.133,456.33000000000004,4.726,3.944,7.489999999999998
Oaxaca,Santo Domingo Albarradas,0.17500000000000002,45.732,5.776999999999999,587.221,7.203,5.732,3.178
Oaxaca,Santo Domingo Armenta,0.63,158.025,234.196,1321.483,27.366,20.191,31.488000000000003
Oaxaca,Santo Domingo Chihuitán,0.44699999999999995,95.93,52.491,1507.635,16.595,10.282,10.674
Oaxaca,Santo Domingo Ingenio,2.25,359.284,220.09699999999998,3549.724,106.84400000000001,61.723,46.401
Oaxaca,Santo Domingo Ixcatlán,0.14400000000000002,39.68,61.532000000000004,160.56199999999998,5.834,4.829000000000001,7.37
Oaxaca,Santo Domingo Nuxaá,0.7169999999999999,187.823,73.159,373.856,28.574,22.061,31.526
Oaxaca,Santo Domingo Ozolotepec,0.196,47.474,37.471999999999994,99.60099999999998,7.277,5.8469999999999995,6.406000000000001
Oaxaca,Santo Domingo Petapa,2.215,550.992,94.622,6159.129,62.701,52.88,105.369
Oaxaca,Santo Domingo Roayaga,0.2309999999999999,62.888999999999996,10.687999999999999,597.028,9.138,7.702,14.862
Oaxaca,Santo Domingo Tehuantepec,16.908,3178.035,924.397,14262.806999999999,276.869,228.539,192.297
Oaxaca,Santo Domingo Teojomulco,1.2510000000000001,279.944,182.02599999999998,485.269,37.806,32.342,35.475
Oaxaca,Santo Domingo Tepuxtepec,1.108,290.39799999999997,70.126,306.77,40.168,34.934,36.913
Oaxaca,Santo Domingo Tlatayápam,0.028,6.805000000000001,24.121,72.14,1.2559999999999998,0.806,3.2729999999999997
Oaxaca,Santo Domingo Tomaltepec,0.8320000000000001,150.32,48.576,178.426,13.382000000000001,11.185,8.36
Oaxaca,Santo Domingo Tonaltepec,0.06,16.122,77.57300000000001,187.679,2.617,1.912,5.217
Oaxaca,Santo Domingo Tonalá,1.339,281.518,130.64999999999998,2341.784,32.424,27.186,36.043000000000006
Oaxaca,Santo Domingo Xagacía,0.21599999999999991,60.11,27.639,96.024,8.256,7.204000000000001,6.678
Oaxaca,Santo Domingo Yanhuitlán,0.463,98.174,178.694,496.058,16.916,9.851,16.206
Oaxaca,Santo Domingo Yodohino,0.096,24.348,7.042,1817.536,3.5109999999999997,2.823,3.572
Oaxaca,Santo Domingo Zanatepec,7.180000000000001,1086.394,601.6850000000001,23323.247,187.391,144.302,95.55
Oaxaca,Santo Domingo de Morelos,2.811,564.284,175.515,1660.494,78.30599999999998,65.55499999999999,93.56
Oaxaca,Santo Tomás Jalieza,0.9540000000000001,204.173,174.868,413.718,26.533,20.584999999999997,36.478
Oaxaca,Santo Tomás Mazaltepec,0.6449999999999999,150.149,109.396,272.645,16.051,12.444,15.407
Oaxaca,Santo Tomás Ocotepec,0.8869999999999998,225.717,424.99300000000005,1065.283,32.926,25.964,43.632
Oaxaca,Santo Tomás Tamazulapan,0.524,118.976,241.948,557.609,13.196000000000002,10.144,12.746
Oaxaca,Santos Reyes Nopala,3.686,864.9989999999998,769.3330000000001,5777.744,112.172,96.528,118.268
Oaxaca,Santos Reyes Pápalo,0.47200000000000003,132.619,42.395,2722.257,17.480999999999998,15.733,26.037
Oaxaca,Santos Reyes Tepejillo,0.301,71.968,172.497,1717.404,8.548,7.104,8.114999999999998
Oaxaca,Santos Reyes Yucuná,0.1779999999999999,45.025,154.94299999999998,685.6329999999999,6.532,6.095000000000001,12.257
Oaxaca,Silacayoápam,1.406,300.969,1024.9360000000001,10929.579,33.197,28.93,53.823
Oaxaca,Sitio de Xitlapehua,0.192,45.015,122.081,305.945,9.021,6.131,6.825
Oaxaca,Soledad Etla,1.093,189.98100000000002,90.768,170.237,9.48,7.677,39.222
Oaxaca,Tamazulápam del Espíritu Santo,1.672,395.286,294.83,806.972,50.425,43.637,42.265
Oaxaca,Tanetze de Zaragoza,0.401,110.742,80.71399999999998,235.369,15.122,13.059999999999999,23.03
Oaxaca,Taniche,0.23500000000000001,57.569,58.293,137.016,12.169,9.165,8.985999999999999
Oaxaca,Tataltepec de Valdés,7.001,940.624,397.11,4199.894,110.539,92.351,61.786
Oaxaca,Teococuilco de Marcos Pérez,0.40399999999999997,78.222,164.366,655.5250000000001,8.229,7.133,4.098
Oaxaca,Teotitlán de Flores Magón,2.2430000000000003,423.304,197.00599999999997,3505.9139999999998,28.21,25.232,298.264
Oaxaca,Teotitlán del Valle,1.6629999999999998,315.60699999999997,246.465,654.309,22.805,19.377000000000002,22.436
Oaxaca,Teotongo,0.213,55.551,358.34700000000004,861.3579999999998,7.591,5.688,12.94
Oaxaca,Tepelmeme Villa de Morelos,0.3229999999999999,78.524,1347.8039999999999,9376.116,17.616000000000003,10.312999999999999,31.793
Oaxaca,Tlacolula de Matamoros,8.211,1465.659,774.569,3156.768,174.44299999999998,151.487,84.49799999999999
Oaxaca,Tlacotepec Plumas,0.1089999999999999,28.67,174.375,414.403,5.883,3.7859999999999996,9.643
Oaxaca,Tlalixtac de Cabrera,5.264,854.334,285.36699999999996,2194.256,57.056999999999995,50.77,33.81
Oaxaca,Totontepec Villa de Morelos,1.219,311.63800000000003,186.899,10793.690999999999,44.701,37.25,50.403
Oaxaca,Trinidad Zaachila,0.881,195.26,123.64,283.28999999999996,22.107,16.731,32.68
Oaxaca,Unión Hidalgo,7.022,691.817,511.635,4052.979,71.525,54.671,39.498
Oaxaca,Valerio Trujano,0.331,84.647,106.958,2783.771,8.755999999999998,7.946,16.868
Oaxaca,Villa Díaz Ordaz,1.696,353.536,417.795,1298.173,41.098,35.498999999999995,35.9
Oaxaca,Villa Hidalgo,0.34500000000000003,89.62999999999998,84.92299999999997,1135.026,10.834,9.617999999999999,8.155
Oaxaca,Villa Sola de Vega,12.304,1724.199,607.264,1949.722,204.16400000000002,164.286,142.698
Oaxaca,Villa Talea de Castro,0.507,134.03300000000002,68.151,213.84,18.703999999999997,15.515,29.33
Oaxaca,Villa Tejúpam de la Unión,0.624,139.608,288.387,870.8419999999999,27.153000000000002,15.953,28.671
Oaxaca,Villa de Chilapa de Díaz,0.544,117.866,194.104,1234.684,11.052,9.605,9.530000000000001
Oaxaca,Villa de Etla,0.589,97.65700000000001,55.257,216.27499999999998,11.996,10.529,40.395
Oaxaca,Villa de Tamazulápam del Progreso,1.555,315.18,542.709,1602.713,27.528,20.709,37.47
Oaxaca,Villa de Tututepec de Melchor Ocampo,14.713,2643.344,1955.64,49409.159,323.947,267.218,287.53899999999993
Oaxaca,Villa de Zaachila,8.257,1511.169,546.922,1242.1,106.545,90.899,157.94
Oaxaca,Yaxe,2.7369999999999997,215.98499999999999,203.46699999999998,382.59,31.355999999999998,26.418,27.522000000000002
Oaxaca,Yogana,0.385,89.57499999999997,195.11700000000002,423.0,12.535,10.031,15.6
Oaxaca,Yutanduchi de Guerrero,0.28900000000000003,77.86999999999999,179.59300000000002,818.9250000000001,12.043000000000001,9.608,14.412
Oaxaca,Zapotitlán Lagunas,0.7669999999999999,177.947,638.095,5473.865000000001,35.291999999999994,25.936,34.675
Oaxaca,Zapotitlán Palmas,0.3989999999999999,88.408,137.956,435.96,9.592,8.075,9.763
Oaxaca,Zimatlán de Álvarez,7.321,1236.733,306.492,731.457,121.199,95.845,110.357
Oaxaca,Ánimas Trujano,1.043,178.42000000000002,47.596000000000004,67.136,5.428,4.552,11.360999999999999
Puebla,Acajete,2443.103,2783.9230000000002,1271.634,2057.776,233.57600000000002,167.84900000000002,225.40200000000002
Puebla,Acateno,2.131,457.29699999999997,256.711,1444.5680000000002,78.09100000000001,45.99,190.293
Puebla,Acatlán,18.403,3267.5190000000002,716.653,3076.049,188.203,139.128,146.185
Puebla,Acatzingo,13.292,2218.879,777.233,2115.9700000000003,180.95100000000002,132.428,206.089
Puebla,Acteopan,0.746,179.42700000000002,230.692,2574.8370000000004,43.119,23.952,33.503
Puebla,Ahuacatlán,2.9,696.429,346.03499999999997,1900.625,82.28699999999998,72.453,132.684
Puebla,Ahuatlán,0.807,211.389,130.933,2773.2059999999997,30.72,20.74,40.056
Puebla,Ahuazotepec,10.202,609.1990000000001,706.191,1485.552,104.236,83.393,75.976
Puebla,Ahuehuetitla,1.313,259.714,149.392,2366.681,28.446,15.836,23.881999999999998
Puebla,Ajalpan,15.809,3258.757,460.161,2408.756,597.659,519.706,897.463
Puebla,Albino Zertuche,0.41000000000000003,105.365,22.220999999999997,993.9440000000001,12.318,8.786999999999997,11.16
Puebla,Aljojuca,2.26,351.81800000000004,449.342,1403.207,46.656000000000006,27.324,114.039
Puebla,Altepexi,4.624,917.027,513.345,1907.554,82.32000000000001,66.339,77.794
